Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,1550.87,1586.81,1548.88,1577.03,1521220000,1577.03
2008-12-30,1521.18,1550.70,1517.26,1550.70,1374180000,1550.70
2008-12-29,1529.54,1530.92,1493.45,1510.32,1186240000,1510.32
2008-12-26,1531.20,1532.13,1518.97,1530.24,592760000,1530.24
2008-12-24,1525.15,1527.23,1516.15,1524.90,490990000,1524.90
2008-12-23,1539.37,1548.44,1512.54,1521.54,1331050000,1521.54
2008-12-22,1562.17,1563.79,1503.66,1532.35,1629320000,1532.35
2008-12-19,1572.75,1593.35,1557.05,1564.32,2651440000,1564.32
2008-12-18,1583.17,1591.70,1535.38,1552.37,2092320000,1552.37
2008-12-17,1568.88,1598.33,1560.05,1579.31,2111370000,1579.31
2008-12-16,1526.06,1589.89,1526.00,1589.89,2180960000,1589.89
2008-12-15,1544.16,1544.16,1491.36,1508.34,1677890000,1508.34
2008-12-12,1482.55,1543.04,1478.03,1540.72,1869900000,1540.72
2008-12-11,1548.47,1568.61,1501.70,1507.88,2018190000,1507.88
2008-12-10,1563.66,1584.16,1542.08,1565.48,1955600000,1565.48
2008-12-09,1546.54,1602.92,1538.25,1547.34,2246470000,1547.34
2008-12-08,1541.44,1583.81,1536.71,1571.74,2290810000,1571.74
2008-12-05,1426.93,1510.39,1404.80,1509.31,2177720000,1509.31
2008-12-04,1465.77,1500.95,1426.41,1445.56,2020110000,1445.56
2008-12-03,1416.03,1493.06,1414.04,1492.38,2240150000,1492.38
2008-12-02,1423.85,1450.83,1399.88,1449.80,2056730000,1449.80
2008-12-01,1496.09,1496.24,1398.07,1398.07,1904470000,1398.07
2008-11-28,1517.95,1535.57,1512.41,1535.57,787580000,1535.57
2008-11-26,1441.21,1532.10,1441.21,1532.10,1980020000,1532.10
2008-11-25,1472.02,1486.22,1430.40,1464.73,2457510000,1464.73
2008-11-24,1409.72,1480.41,1397.19,1472.02,2553620000,1472.02
